mesto,id_tekmovalca,tocke
45,2067,73.1
46,2010,72.6
47,3023,70.8
48,2036,59.5
49,1970,53.7
1,5040,269.2
2,4889,263.3
3,2039,253.6
4,2067,253.2
5,2062,249.6
6,4141,246.8
7,2813,243.2
8,2917,239.0
9,2088,236.4
10,4143,236.3
11,4547,235.5
12,1970,235.4
13,2815,235.2
14,1984,234.8
15,1998,232.5
16,1991,228.0
17,2010,227.6
18,2975,226.1
18,2998,226.1
20,2918,225.8
21,1995,222.4
22,2947,222.1
23,2903,220.9
24,3012,219.5
25,4880,214.5
26,2026,213.1
27,2033,210.8
28,2113,210.6
29,2934,210.2
30,4801,207.5
31,2036,107.2
32,2931,107.1
32,4333,107.1
34,4593,105.8
35,2928,105.7
36,4613,104.9
37,2987,103.9
38,3023,102.6
38,2016,102.6
40,4186,101.7
41,2929,101.3
42,4025,99.9
43,2041,97.9
44,2009,97.6
45,1996,92.1
46,5404,89.8
46,3071,89.8
48,4420,87.9
49,2092,87.6
50,4724,82.1
51,4041,78.9
1,4889,280.9
2,2067,266.4
3,5040,262.3
4,2815,257.5
5,1984,257.4
6,2039,257.3
7,2062,255.0
7,4143,255.0
9,4547,247.4
10,2010,245.8
11,1991,243.6
12,1998,241.8
13,2088,240.9
14,1995,237.8
15,2813,233.4
16,4141,233.3
17,2033,230.1
18,1970,229.9
19,2975,228.9
20,2934,228.1
21,2987,223.6
22,4186,223.5
23,2998,223.2
24,2928,220.9
25,4613,220.8
26,2016,218.1
27,2917,213.4
28,5404,209.4
29,3023,208.0
30,2009,206.8
31,4025,106.3
32,2947,105.9
33,4801,105.0
33,2036,105.0
35,2903,104.6
36,4880,103.6
37,2918,103.5
38,4333,103.2
39,4593,102.3
40,2931,100.8
41,2113,99.9
42,2929,99.0
42,2041,99.0
44,4259,98.1
45,4724,97.6
46,3787,97.1
47,1996,93.9
48,4041,88.5
49,2900,87.6
50,2024,83.1
51,4236,82.7
1,4547,154.8
2,2067,145.7
3,4889,145.5
4,2903,135.6
5,2927,129.9
6,4615,126.6
7,2088,122.7
8,5404,121.5
9,2970,121.1
10,2095,120.5
11,2813,117.0
12,4322,116.7
13,1998,116.0
13,1970,116.0
15,3071,113.8
16,3023,109.6
17,4173,106.1
18,2009,103.0
19,4880,100.1
20,2975,96.1
21,1996,95.7
22,4143,95.5
23,4367,94.2
24,4041,93.7
25,1972,91.6
26,2045,87.4
27,4025,86.9
28,1991,85.2
29,2928,84.8
30,4645,84.4
31,4801,83.0
32,4325,82.8
33,2815,82.4
34,2039,81.3
35,4613,80.2
36,2947,78.3
37,4174,76.4
38,2934,76.1
39,4664,74.1
40,1994,73.9
41,2062,73.8
42,4259,72.0
43,2819,69.3
44,2929,68.7
45,2918,67.4
46,4321,63.4
47,2917,63.1
48,2611,62.5
48,4333,62.5
50,2022,57.9
51,3090,56.6
52,1984,55.9
53,3012,52.0
53,1990,52.0
55,1995,49.5
56,2998,44.1
57,4593,41.3
58,4580,38.1
59,2092,36.7
60,4141,32.6
61,4579,32.2
62,2016,30.0
63,2041,28.1
64,2077,14.4
65,2033,11.3
66,2010,2987.0
1,2039,265.8
2,4141,258.3
3,1998,255.7
4,2033,255.1
5,4613,244.1
6,4593,243.9
7,1970,243.4
8,1995,242.8
9,1991,240.6
10,2062,236.6
11,4880,235.9
12,4321,234.2
13,2815,233.9
14,2016,232.8
15,2092,231.0
16,5064,230.9
17,2067,229.8
18,2088,225.8
19,2813,223.7
19,2022,223.7
21,4664,221.4
22,2975,220.0
23,4025,219.0
24,2812,212.2
25,1984,210.0
26,1996,207.0
27,4325,206.7
28,3023,205.3
29,4882,195.3
30,3090,186.3
31,4889,99.3
32,4186,97.5
33,3071,96.5
34,2918,95.2
35,2998,95.1
36,2009,94.3
37,4143,94.2
38,5040,93.3
39,2934,92.4
39,2987,92.4
41,4580,90.0
42,4547,89.7
43,4015,89.6
43,4367,89.6
45,3787,86.0
46,4041,85.1
47,4947,82.0
48,3012,81.0
49,2965,77.0
50,4615,76.6
1,2039,229.0
2,4141,227.3
3,4143,217.7
4,1984,213.6
5,4880,207.6
6,2033,205.2
7,2067,204.4
8,1995,203.8
9,5040,201.2
10,4889,198.0
11,3787,196.8
12,2088,196.3
13,4613,196.0
14,1998,195.6
15,1991,192.9
16,2934,192.0
17,4321,191.1
18,1996,186.4
19,3071,185.3
20,2815,184.9
21,2819,179.8
22,5064,179.7
23,2918,175.6
23,2965,175.6
25,2813,175.0
26,3023,174.9
27,1970,169.5
28,4664,163.3
29,2062,162.3
30,4580,158.2
31,2903,76.2
31,4015,76.2
33,4041,73.8
34,2092,73.4
35,2975,73.0
36,2022,72.7
37,2016,72.1
38,4025,70.2
39,4186,68.0
40,4547,67.9
40,4322,67.9
42,4882,67.0
43,4579,66.5
44,2025,62.9
45,2009,60.3
46,2987,55.7
47,2998,49.3
48,4645,43.3
49,4947,19.8
50,2812,14.4
1,5040,296.0
2,2062,286.5
3,2039,280.3
4,4889,279.7
5,2067,276.9
6,4547,276.3
7,1995,274.8
8,2815,270.6
9,2934,267.1
10,4143,265.2
11,4141,255.3
12,2975,254.7
13,1970,254.4
14,2088,251.8
15,2010,249.3
16,2033,246.2
17,4580,243.3
18,1998,241.4
19,1991,239.7
20,4880,236.5
21,1984,235.0
22,4025,234.2
23,2813,232.8
24,2092,232.4
25,2903,231.9
26,4963,230.1
26,3012,230.1
28,2917,227.0
29,4321,226.0
30,4801,215.8
31,2998,115.2
32,2113,113.4
32,4613,113.4
34,5064,109.4
35,1990,108.0
36,4593,107.5
37,5404,107.1
38,3023,106.5
39,4041,103.8
40,1906,103.5
41,2918,103.0
42,2987,102.5
43,4174,101.1
44,4259,100.7
45,2016,96.6
46,2025,95.2
47,2931,92.5
48,4184,89.3
49,4615,88.9
1,2062,135.9
2,1991,133.0
3,2022,132.9
4,5040,129.4
5,2917,128.1
5,4547,128.1
5,4889,128.1
8,1998,127.6
9,2010,124.9
9,4141,124.9
11,4143,124.7
12,2039,123.9
13,1984,123.5
14,2813,122.2
15,4801,119.8
16,1995,118.4
17,4613,118.3
18,2067,118.0
19,1906,116.9
20,2934,116.7
21,4321,115.7
22,3012,114.3
23,2975,112.9
24,4880,112.6
25,1970,110.7
26,2918,108.9
27,2815,106.6
28,5064,105.3
29,2088,102.0
30,2113,98.5
31,2092,113.8
32,4580,111.5
33,2033,109.8
34,2903,108.4
35,1990,108.0
36,2987,107.9
37,4025,105.5
38,2041,103.9
39,4186,103.0
40,3023,101.0
41,2998,100.6
42,4184,98.9
43,4963,98.0
44,4947,92.0
45,4593,87.5
46,4882,86.6
47,4041,78.4
48,4734,77.6
49,2016,76.3
50,2026,51.6
1,2039,283.1
2,4143,279.9
3,2010,258.9
4,5040,258.8
5,2813,258.4
6,4889,257.7
7,4141,255.5
8,1995,254.8
9,4547,253.8
10,2033,253.3
11,2815,253.2
12,1970,246.6
13,2934,246.1
14,2062,245.7
15,5038,245.1
16,1991,243.9
17,2067,237.0
18,4613,227.4
18,3012,227.4
20,1998,222.9
21,4593,221.0
22,5064,214.6
23,2812,208.8
24,2975,208.3
25,1984,204.3
26,4801,190.5
27,4880,183.2
28,2947,182.8
29,4724,181.6
